ask,1715.15
askSize,10
averageDailyVolume10Day,3219657
averageDailyVolume3Month,4917519
bid,1713.95
bidSize,12
bookValue,64.872
currency,USD
earningsTimestamp,1524772800
earningsTimestampEnd,1532980800
earningsTimestampStart,1532548800
epsForward,20.04
epsTrailingTwelveMonths,7.95
esgPopulated,False
exchange,NMS
exchangeDataDelayedBy,0
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EDT
fiftyDayAverage,1625.2579
fiftyDayAverageChange,90.712036
fiftyDayAverageChangePercent,0.05581393
fiftyTwoWeekHigh,1724.8
fiftyTwoWeekHighChange,-8.830078
fiftyTwoWeekHighChangePercent,-0.0051194793
fiftyTwoWeekLow,931.75
fiftyTwoWeekLowChange,784.22
fiftyTwoWeekLowChangePercent,0.8416635
fiftyTwoWeekRange,931.75 - 1724.8
financialCurrency,USD
forwardPE,85.62724
fullExchangeName,NasdaqGS
gmtOffSetMilliseconds,-14400000
language,en-US
longName,"Amazon.com, Inc."
market,us_market
marketCap,832634945536
marketState,CLOSED
messageBoardId,finmb_18749
postMarketChange,-0.77001953
postMarketChangePercent,-0.04487372
postMarketPrice,1715.2
postMarketTime,1529106966
priceHint,2
priceToBook,26.451626
quoteSourceName,Nasdaq Real Time Price
quoteType,EQUITY
regularMarketChange,-7.8900146
regularMarketChangePercent,-0.45769462
regularMarketDayHigh,1720.87
regularMarketDayLow,1708.55
regularMarketDayRange,1708.55 - 1720.87
regularMarketOpen,1714.0
regularMarketPreviousClose,1723.86
regularMarketPrice,1715.97
regularMarketTime,1529092803
regularMarketVolume,3883389
sharesOutstanding,485227008
shortName,"Amazon.com, Inc."
sourceInterval,15
symbol,AMZN
tradeable,True
trailingPE,215.84529
twoHundredDayAverage,1441.4742
twoHundredDayAverageChange,274.49573
twoHundredDayAverageChangePercent,0.19042708
