,CBSM,CusOption,cStrike
0,2.247464723109178,2.1443446381908657,45.0
1,2.1531088948692623,2.051710342432316,47.5
2,2.063260467199619,1.9612594774523402,50.0
3,1.8952943809289655,1.7934375905521391,55.0
4,1.7405768565665756,1.640521568505535,60.0
5,1.596848639120102,1.5000894652220371,65.0
6,1.4623564834525633,1.3702718346027778,70.0
7,1.3357074454806652,1.249380483617272,75.0
8,1.2157705260661023,1.131966795521754,80.0
9,1.1580199298414056,1.076004578040793,82.5
10,1.101607786840822,1.0217252461867674,85.0
11,1.0464388038334935,0.9690291970466482,87.5
12,0.9924241644029032,0.9178295799115701,90.0
13,0.939480522769577,0.868046982561541,92.5
14,0.9290133093839913,0.8582532183155687,93.0
15,0.9081954710765155,0.8388238663388705,94.0
16,0.8875290722953392,0.81959884262786,95.0
17,0.8670093682592113,0.7999174295141092,96.0
18,0.846631685404142,0.7802679259458578,97.0
19,0.8364946586957394,0.7705177675426559,97.5
20,0.8263914123971378,0.7608156573484062,98.0
21,0.8163213783187384,0.7511628384312121,98.5
22,0.8062839910051722,0.7415590023416723,99.0
23,0.7962786874401642,0.7320028262111642,99.5
24,0.7147416755257086,0.0,100.0
25,0.7664496792278529,0.7036177245460037,101.0
26,0.7717933399557143,0.728361476609916,102.0
27,0.7515093622879676,0.7087569751534495,103.0
28,0.7313452973972497,0.6893411667411947,104.0
29,0.7112963393582049,0.6701095245603825,105.0
30,0.6913576644832836,0.6510589850901259,106.0
31,0.6715244166414862,0.6321863726211497,107.0
32,0.6517916912662245,0.6134872493572545,108.0
33,0.6321545177942971,0.5949597374692864,109.0
34,0.5692037495191079,0.0,110.0
35,0.5931464953979984,0.5576020159145751,111.0
36,0.5330165294828452,0.0,112.0
37,0.554458465858041,0.5200238963354368,113.0
38,0.5352206822198223,0.5014732743709296,114.0
39,0.47916246122153416,0.0,115.0
40,0.4969281727878223,0.46484374791790095,116.0
41,0.4778608427564053,0.4467564833353057,117.0
42,0.47260400232527744,0.4484806297232155,118.0
43,0.4531379062642522,0.4296822481816709,119.0
44,0.4065974433481538,0.3681681021848117,120.0
45,0.40195208526948306,0.37506176951493236,121.0
46,0.3948873004461828,0.37417338110943943,122.0
47,0.3640968224252849,0.33876360287039997,123.0
48,0.3330482960682464,0.2997206735396155,124.0
49,0.33664324517824784,0.3179720680241979,125.0
50,0.3071993740528668,0.2853118370038772,126.0
51,0.2881468383004945,0.26747210752006456,127.0
52,0.2690211515497153,0.2491574021973086,128.0
53,0.2583357754394915,0.2434275088366442,129.0
54,0.23850419827061897,0.2242503819883935,130.0
55,0.2185091828070906,0.2051831992589177,131.0
56,0.21103071240124718,0.20197836619755621,132.0
57,0.2003500692661752,0.1936224668828273,133.0
58,0.18701842721694764,0.18177810485558737,134.0
59,0.17512968153651942,0.17127098818438619,135.0
60,0.1697132794315776,0.16733707516634952,136.0
61,0.1614561027398189,0.15958966900135557,137.0
62,0.15694610777273835,0.15596834455274752,138.0
63,0.15298841832026602,0.15209831776731825,139.0
64,0.15031857252282343,0.14965714618037348,140.0
65,0.14842853820450277,0.14812457732963236,141.0
66,0.14712965727080624,0.14691680372588886,142.0
67,0.14959832758499694,0.14927443944867588,143.0
68,0.15266982205570154,0.15274466844656484,144.0
69,0.15661336730857991,0.15641026843855405,145.0
70,0.16138820080408217,0.16131092667883595,146.0
71,0.16736675729728775,0.16744893727790605,147.0
72,0.17407477766477167,0.17418630861393747,148.0
73,0.17918267246917133,0.17936179892752327,149.0
74,0.18887785323701642,0.1888786585771153,150.0
75,0.2098943425118033,0.21038651025669852,152.5
76,0.23187726934710595,0.23253890809870548,155.0
77,0.24670914519737414,0.2470122665585937,157.5
78,0.27491626820943244,0.2753593327524466,160.0
79,0.294915440423782,0.2957635639225226,165.0
80,0.3421374142153108,0.3429217246054122,170.0
81,0.3873680839516929,0.38876388095391207,175.0
82,0.43081661754859196,0.43259488723588835,180.0
83,0.4726496820544917,0.4740073961725508,185.0
84,0.5130046448766903,0.5143432356625386,190.0
85,0.5519975320821162,0.5536538751895483,195.0
86,0.5897281623179257,0.5919875915781905,200.0
87,0.6262836399759226,0.6293901396231734,205.0
88,0.6617408360985559,0.6647287536010101,210.0
89,0.7296272075681429,0.7319669900310746,220.0
90,0.793856870081879,0.7962701079172987,230.0
91,0.8548164031227349,0.8578804323869437,240.0
